row,message_id,message_send_time_utc,measurement_time_utc,country_code,location,city,latitude,longitude,source_type,source_name,parameter_name,parameter_value,parameter_unit
2348,b6cde856-741a-5a8c-b0ab-b44d4f0e2773,2022-12-20 04:23:48,2022-12-20 01:00:00,BE,BETE715,West-Vlaanderen,51.245864,3.174984,government,EEA Belgium,no2,6.0,µg/m³
2349,cfcee138-27a5-5d1f-a563-bd231cb158dc,2022-12-20 04:23:48,2022-12-20 02:00:00,BE,BETN070,Hainaut,50.465192,3.939714,government,EEA Belgium,pm25,1.686,µg/m³
2350,7eb447a4-08d4-5767-8229-1bbf33c0ab59,2022-12-20 04:23:48,2022-12-20 01:00:00,BE,BETR001,Brussels-Capital Region,50.849665,4.33382,government,EEA Belgium,no2,3.0,µg/m³
2351,6e75e414-6c27-5feb-b9e1-b80f5733140d,2022-12-20 04:23:48,2022-12-20 01:00:00,BE,BETN070,Hainaut,50.465192,3.939714,government,EEA Belgium,no2,5.5,µg/m³
2352,3a424c4a-3e2f-5a71-b5e9-1051053b77b4,2022-12-20 04:23:48,2022-12-20 02:00:00,BE,BETMEU1,Brussels-Capital Region,50.895101,4.392718,government,EEA Belgium,no2,4.0,µg/m³
2353,9ccb193b-2828-56e9-8cc7-45201602eb6b,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETR740,Oost-Vlaanderen,51.150136,3.808735,government,EEA Belgium,o3,39.5,µg/m³
2354,3979e9ae-6ddd-5e27-897e-b5b556c96fe0,2022-12-20 04:23:48,2022-12-20 02:00:00,BE,BETM802,Antwerpen,51.26099,4.424399,government,EEA Belgium,pm25,4.7,µg/m³
2355,2496a7e0-768d-5ed0-9868-fbfb4d992d2e,2022-12-20 04:23:48,2022-12-20 01:00:00,BE,BETR020,Vlaams-Brabant,50.941387,4.436721,government,EEA Belgium,pm10,8.9,µg/m³
2356,40d5f6c2-0022-5e48-8f12-aad93b36c484,2022-12-20 04:23:48,2022-12-20 01:00:00,BE,BETN060,Hainaut,50.616718,3.457624,government,EEA Belgium,no2,10.0,µg/m³
2357,ce7db951-c554-5394-8091-e54afe40b231,2022-12-20 04:23:48,2022-12-20 01:00:00,BE,BETN066,Liege,50.62886,6.002329,government,EEA Belgium,no2,3.0,µg/m³
2358,0efefa6e-6909-5e9d-8b87-a6755723e673,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BELLD02,Antwerpen,51.120384,5.021546,government,EEA Belgium,no2,6.0,µg/m³
2359,02606c22-3e6e-52e1-9c86-30390044f747,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETN051,Oost-Vlaanderen,50.798916,3.930293,government,EEA Belgium,no2,4.0,µg/m³
2360,d44f35d8-be96-584a-b2b9-69c380bce0da,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETN027,Limburg,51.133717,5.606659,government,EEA Belgium,o3,50.5,µg/m³
2361,b0808e5f-56a1-5324-ba30-d244688b1c85,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETR222,Liege,50.613413,5.570223,government,EEA Belgium,o3,52.5,µg/m³
2362,9ce3bd3c-833c-5c4a-824e-e127bd16476f,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETR012,Brussels-Capital Region,50.796632,4.358539,government,EEA Belgium,o3,54.5,µg/m³
2363,b5ceee03-2694-5e6a-a238-b21818beb684,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETM705,West-Vlaanderen,50.945359,3.152402,government,EEA Belgium,o3,39.0,µg/m³
